code;name
KC;Карачаево-Черкесская Респ
KI;Карелия Респ
KE;Кемеровская обл
KH;Хабаровский край
KK;Хакасия Респ
KM;Ханты-Мансийский Автономный округ - Югра АО
KV;Кировская обл
KO;Коми Респ
KT;Костромская обл
KD;Краснодарский край
AD;Адыгея Респ
AL;Алтайский край
AM;Амурская обл
AR;Архангельская обл
AS;Астраханская обл
BK;Башкортостан Респ
BL;Белгородская обл
BR;Брянская обл
BU;Бурятия Респ
CN;Чеченская Респ
CL;Челябинская обл
CA;Чукотский АО
CV;Чувашская Республика - Чувашия
SP;Санкт-Петербург
DA;Дагестан Респ
GA;Алтай Респ
IN;Ингушетия Респ
IV;Ивановская обл
KB;Кабардино-Балкарская Респ
KN;Калининградская обл
KL;Калмыкия Респ
KG;Калужская обл
KU;Курганская обл
KS;Курская обл
LN;Ленинградская обл
LP;Липецкая обл
MG;Магаданская обл
ME;Марий Эл Респ
MR;Мордовия Респ
MS;Москва
MO;Московская обл
MM;Мурманская обл
NN;Ненецкий АО
NZ;Нижегородская обл
NO;Северная Осетия - Алания Респ
NG;Новгородская обл
NS;Новосибирская обл
OM;Омская обл
OL;Орловская обл
OB;Оренбургская обл
PZ;Пензенская обл
PR;Приморский край
PS;Псковская обл
RO;Ростовская обл
RZ;Рязанская обл
CK;Саха /Якутия/ Респ
SL;Сахалинская обл
SA;Самарская обл
SR;Саратовская обл
SM;Смоленская обл
ST;Ставропольский край
SV;Свердловская обл
TB;Тамбовская обл
TT;Татарстан Респ
TO;Томская обл
TL;Тульская обл
TU;Тыва Респ
TV;Тверская обл
TY;Тюменская обл
UD;Удмуртская Респ
UL;Ульяновская обл
VL;Владимирская обл
VG;Волгоградская обл
VO;Вологодская обл
VR;Воронежская обл
YN;Ямало-Ненецкий АО
YS;Ярославская обл
YV;Еврейская Аобл
SC;Севастополь г
KR;Крым Респ
KY;Красноярский край
IR;Иркутская обл
CT;Забайкальский край
KA;Камчатский край
PE;Пермский край
