"Name";"global_id";"Razdel";"Kod";"Nomdescr";"Idx";
"Услуги библиотек";"273496846";"R";"91.01.11";"Эта группировка включает:^- услуги по комплектованию, каталогизации, хранению и восстановлению книг и аналогичные услуги;^- услуги по выдаче книг и записей;^- услуги библиотек фотографий и кино^Эта группировка не включает:^- услуги по прокату видеокассет и цифровых видеокассет (DVD), см. 77.22.10;^- услуги по прокату книг, см. 77.29.19";"R.91.01.11";
"Услуги библиотек";"273496850";"R";"91.01.11.000";"";"R.91.01.11.000";
"Услуги архивов";"273496852";"R";"91.01.12";"Эта группировка включает:^- услуги, связанные с деятельностью (комплектование, каталогизация, хранение и восстановление) государственных архивов, включая цифровые архивы;^- услуги, связанные с деятельностью исторических архивов, включая цифровые архивы";"R.91.01.12";
"Услуги архивов";"273496853";"R";"91.01.12.000";"";"R.91.01.12.000";
"Услуги музеев";"273496855";"R";"91.02";"";"R.91.02";
"Услуги музеев";"273496856";"R";"91.02.1";"";"R.91.02.1";
"Услуги музеев";"273496858";"R";"91.02.10";"Эта группировка включает:^- услуги по показу экспозиций всех видов (художественных, научных и технических, исторических и др.);^- услуги по управлению коллекциями и обеспечению их хранения;^- услуги по демонстрации коллекций на выезд^Эта группировка не включает:^- услуги по продаже и демонстрации, осуществляемые коммерческими художественными галереями, см. 47.00.69;^- услуги по реставрации произведений искусства и музейных коллекционных предметов, см. 90.03.11;^- услуги библиотек и архивов, см. 91.01.1;^- услуги исторических мест и зданий, см. 91.03.10;^- услуги ботанических садов и зоопарков, см. 91.04.11";"R.91.02.10";
"Услуги музеев";"273496859";"R";"91.02.10.000";"";"R.91.02.10.000";
"Коллекции музейные";"273496861";"R";"91.02.2";"";"R.91.02.2";
"Коллекции музейные";"273496862";"R";"91.02.20";"Эта группировка включает:^- коллекции и коллекционные предметы исторического, этнографического, зоологического, ботанического, минералогического, анатомического или нумизматического характера";"R.91.02.20";
"Коллекции музейные";"273496864";"R";"91.02.20.000";"";"R.91.02.20.000";
"Услуги, связанные с деятельностью по использованию исторических мест, зданий и аналогичных туристических достопримечательностей";"273496866";"R";"91.03";"";"R.91.03";
"Услуги, связанные с деятельностью по использованию исторических мест, зданий и аналогичных туристических достопримечательностей";"273496868";"R";"91.03.1";"";"R.91.03.1";
"Услуги, связанные с деятельностью по использованию исторических мест, зданий и аналогичных туристических достопримечательностей";"273496869";"R";"91.03.10";"Эта группировка включает:^- услуги, связанные с деятельностью по использованию исторических мест, памятников и зданий, с доступом к ним и посещением;^- услуги по охране исторических мест, памятников и зданий^Эта группировка не включает:^- услуги по реновации и реставрации исторических мест и зданий, см. секцию F";"R.91.03.10";
"Услуги, связанные с деятельностью по использованию исторических мест, зданий и аналогичных туристических достопримечательностей";"273496871";"R";"91.03.10.000";"";"R.91.03.10.000";
"Услуги ботанических садов, зоопарков и природных заповедников";"273496873";"R";"91.04";"";"R.91.04";
"Услуги ботанических садов, зоопарков и природных заповедников";"273496875";"R";"91.04.1";"Эта группировка не включает:^- услуги, связанные с ландшафтной и садовой деятельностью, см. 81.30.10";"R.91.04.1";
"Услуги ботанических садов и зоопарков";"273496876";"R";"91.04.11";"Эта группировка включает:^- услуги, связанные с деятельностью ботанических садов и зоопарков, доступом к ним и посещением;^- услуги по сохранению и содержанию ботанических садов и зоопарков^Эта группировка не включает:^- услуги природных заповедников, см. 91.04.12";"R.91.04.11";
"Услуги дендрологических парков и ботанических садов";"273496877";"R";"91.04.11.110";"";"R.91.04.11.110";
"Услуги зоопарков";"273496880";"R";"91.04.11.120";"";"R.91.04.11.120";
