date,page,money
2014-02-21,10,1
2014-05-07,8,3
2014-06-30,5,4
2014-07-21,2,2
2014-07-21,5,2
2014-07-21,11,2
2014-07-21,14,2
2014-09-22,5,2
2014-09-22,14,2
2014-09-22,7,3
2014-09-25,1,0
2014-09-25,4,1
2014-09-25,12,1
2014-09-25,15,1
2014-09-25,12,2
2014-09-25,18,2
2014-09-25,4,3
2014-09-25,5,4
2014-09-28,1,2
2014-10-01,6,1
2014-10-01,11,2
2014-10-01,3,3
2014-10-04,3,0
2014-10-04,2,2
2014-10-07,3,0
2014-10-07,16,1
2014-10-07,19,1
2014-10-07,6,2
2014-10-07,9,2
2014-10-07,17,2
2014-10-07,10,3
2014-10-07,2,4
2014-10-10,6,0
2014-10-10,10,0
2014-10-10,11,0
2014-10-10,14,0
2014-10-10,15,0
2014-10-10,17,0
2014-10-10,20,0
2014-10-10,6,1
2014-10-10,13,2
2014-10-10,15,2
2014-11-12,17,1
2014-11-15,1,0
